,DAY_OF_WEEK,CARRIER_CODE,DEST,DEP_DELAY,SCHEDULED_DURATION,DISTANCE,SCHEDULED_DEPARTURE,ACTUAL_DEPATURE,SCHEDULED_ARRIVAL,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,FLT_SCH_DEPATURE,FLT_SCH_ARRIVAL,TAXI_OUT,SPEED,Region,FLIGHT_TRAFFIC
15,5,DL,SFO,EARLY,6.516666666666667,4161.75324,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,17,21,L,638.632210741688,West,Medium
16,5,DL,SLC,EARLY,5.35,3202.5866,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,17,21,H,598.6143177570094,West,Medium
17,5,DL,BOS,EARLY,1.3666666666666667,300.94658,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,17,21,L,220.20481463414632,North East,Medium
19,5,B6,SAV,EARLY,2.3833333333333333,1155.50612,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,17,21,L,484.82774265734264,South,Medium
21,5,B6,ATL,ONTIME,2.566666666666667,1223.0984,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,17,21,L,476.53184415584417,South,Medium
22,5,DL,MSP,EARLY,3.1166666666666667,1656.01086,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,17,21,H,531.3403828877006,Mid West,Medium
23,5,B6,LAX,EARLY,6.316666666666666,3983.1165,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,17,21,L,630.5725329815303,West,Medium
25,5,DL,SEA,EARLY,6.216666666666667,3897.82148,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,30,26,H,626.9954123324396,West,High
26,5,AA,MIA,DELAYED,3.066666666666667,1752.57126,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,30,26,H,571.4906282608695,South,High
27,5,AS,SEA,EARLY,6.333333333333333,3897.82148,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,30,26,L,615.4454968421053,West,High
28,5,AS,PDX,EARLY,6.25,3949.32036,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,30,26,L,631.8912576,West,High
29,5,B6,TPA,EARLY,3.0,1617.3867,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,30,26,L,539.1289,South,High
30,5,B6,BTV,DELAYED,1.25,428.08444,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,30,26,L,342.46755199999996,North East,High
31,5,B6,ORD,EARLY,2.716666666666667,1190.9116,Morning,Morning,Morning,47,33,59,W,24,29,30.0,Fair / Windy,30,26,L,438.3723680981595,Mid West,High
32,5,AA,LAX,EARLY,6.266666666666667,3983.1165,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,30,26,L,635.6036968085107,West,High
33,5,AA,ORD,EARLY,2.7666666666666666,1190.9116,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,30,26,L,430.4499759036144,Mid West,High
34,5,DL,IAH,EARLY,4.216666666666667,2280.43478,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,30,26,H,540.8145723320158,South,High
35,5,DL,DEN,EARLY,4.516666666666667,2616.78684,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,30,26,L,579.3624000000001,West,High
36,5,B6,RSW,DELAYED,3.216666666666667,1728.43116,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,30,26,L,537.3361119170985,South,High
37,5,B6,LAX,EARLY,6.266666666666667,3983.1165,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,30,26,L,635.6036968085107,West,High
38,5,MQ,ORF,EARLY,1.4666666666666666,466.7086,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,30,26,H,318.2104090909091,Mid West,High
39,5,9E,JAX,EARLY,2.6,1332.53352,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,H,512.5128923076923,South,High
40,5,B6,MCO,ONTIME,2.933333333333333,1519.21696,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,L,517.9148727272727,South,High
41,5,DL,MIA,EARLY,3.0166666666666666,1752.57126,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,H,580.9628486187845,South,High
42,5,DL,MSY,EARLY,3.15,1902.23988,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,L,603.8856761904763,South,High
43,5,AA,CLT,EARLY,2.2666666666666666,870.65294,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,L,384.1115911764706,South,High
44,5,DL,MCO,EARLY,2.8333333333333335,1519.21696,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,L,536.1942211764706,South,High
45,5,9E,BNA,EARLY,2.65,1231.1451,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,H,464.58305660377357,South,High
46,5,9E,RDU,EARLY,1.85,687.18818,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,L,371.45307027027025,West,High
47,5,DL,SFO,EARLY,6.666666666666667,4161.75324,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,H,624.262986,West,High
48,5,B6,FLL,DELAYED,3.1166666666666667,1720.38446,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,H,551.9950139037433,South,High
51,5,DL,SJC,EARLY,6.466666666666667,4134.39446,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,H,639.3393494845361,West,High
52,5,DL,TPA,DELAYED,2.8833333333333333,1617.3867,Morning,Morning,Morning,50,33,52,W,21,30,30.0,Fair / Windy,46,19,L,560.9433641618497,South,High
